CompanySymbol,Company Name,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
ER9.MU,ERG SPA,,,,,
@ZORLU ENRJI ELEKTRIK UERETIM,ZORLU ENRJI ELEKTRIK UERETIM,,,,,
UN01.DE,UNIPER SE,,,,,
I10.DU,ITALGAS SPA,,,,,
@FALCK RENEWABLES SPA,FALCK RENEWABLES SPA,,,,,
SCATC.OL,SCATEC ASA,,,,,
EDRVF,EDP RENOVAVEIS SA,15.61,1.63,8.32,5.66,2022.0
@ALBIOMA,ALBIOMA,,,,,
@SUEZ SA,SUEZ SA,,,,,
ENEL.MI,ENEL SPA,22.85,8.8,9.52,4.52,2022.0
CEZ.F,CEZ AS,37.02,17.26,13.32,6.45,2022.0
@EVN-ENERGIE-VERSORG NIEDEROS,EVN-ENERGIE-VERSORG NIEDEROS,,,,,
VVDH.SG,VEOLIA ENVIRONNEMENT S A,,,,,
EDPFY,EDP-ENERGIAS DE PORTUGAL SA,,,,,
ENGI.PA,ENGIE SA,29.0,12.65,8.08,8.27,2022.0
VER.VI,VERBUND AG,18.93,6.01,7.02,5.89,2022.0
RN4.SG,REN-REDES ENERGETICAS NACIO,,,,,
@GEDI GRUPPO EDITORIALE S.P.A,GEDI GRUPPO EDITORIALE S.P.A,,,,,
DCS.MU,JC DECAUX SA,13.53,0.09,7.47,5.96,2022.0
UCM.DU,BUZZI UNICEM SPA,,,,,
3PC.BE,CEMENTIR HOLDING NV,,,,,
4HM.SG,VICAT SA,,,,,
HOLN.SW,HOLCIM LTD,20.23,11.94,2.95,5.34,2022.0
@CEMEX LATAM HOLDINGS SA,CEMEX LATAM HOLDINGS SA,,,,,
HEI.DE,HEIDELBERGCEMENT AG,27.01,15.34,3.68,7.99,2022.0
GSM,FERROGLOBE PLC,,,,,
CRH,CRH PLC,,,,,
ERA.PA,ERAMET,,,,,
NE0.MU,NEXA RESOURCES SA,,,,,
WIE.VI,WIENERBERGER AG,,,,,
IY4.F,IMERYS SA,32.17,14.92,8.13,9.12,2022.0
AAL.L,ANGLO AMERICAN PLC,22.87,10.15,9.32,3.41,2022.0
AMG,AMG ADVANCED METALLURGICAL,20.72,1.38,8.39,10.94,2022.0
RIO,RIO TINTO GROUP,,,,,
BOL.ST,BOLIDEN AB,27.71,11.77,9.18,6.76,2022.0
GLNCY,GLENCORE PLC,,,,,
SCB.SG,SECHE ENVIRONNEMENT SA,,,,,
O5G.DU,CPI PROPERTY GROUP SA,,,,,
@ATRIUM EURP R/EST,ATRIUM EURP R/EST,,,,,
CTY1S.HE,CITYCON OYJ,,,,,
CAST.ST,CASTELLUM AB,,,,,
SRP.L,SERCO GROUP PLC,,,,,
@LASSILA & TIKANOJA GROUP,LASSILA & TIKANOJA GROUP,,,,,
MOBN.SW,MOBIMO HOLDING AG,,,,,
RTO,RENTOKIL INITIAL PLC,,,,,
@KUNGSLEDEN AB,KUNGSLEDEN AB,,,,,
CLI.L,CLS HOLDINGS PLC,,,,,
PSPN.SW,PSP SWISS PROPERTY AG,,,,,
HUFV-A.ST,HUFVUDSTADEN AB,,,,,
FOXT.L,FOXTONS GROUP PLC,,,,,
ENTRA.OL,ENTRA ASA,,,,,
RPS.L,RPS GROUP PLC,,,,,
@NORWEGIAN PROPERTY AS,NORWEGIAN PROPERTY AS,,,,,
CAPC.L,CAPITAL & COUNTIES PROPERT,,,,,
MTO.L,MITIE GROUP PLC,,,,,
@LOK N STORE GROUP PLC,LOK N STORE GROUP PLC,,,,,
GRI.L,GRAINGER PLC,,,,,
SVS.L,SAVILLS PLC,,,,,
IIA.VI,IMMOFINANZ AG,,,,,
CINE.L,CINEWORLD GROUP,,,,,
CDA.PA,COMPAGNIE DES ALPES,,,,,
SKIS-B.ST,SKISTAR AB,,,,,
RNK.L,RANK GROUP PLC,,,,,
